component,name,functionalBlock,functionType,functionList
TMFC005,ProductInventory,CoreCommerce,eTOM,1.2.11|Product_Inventory_Management|v24.0
TMFC005,ProductInventory,CoreCommerce,eTOM,1.1.19|Loyalty_Program_Management|v24.0
TMFC005,ProductInventory,CoreCommerce,eTOM,1.1.19.2|Loyalty_Program_Operation|v24.0
TMFC005,ProductInventory,CoreCommerce,eTOM,1.1.19.2.5|Manage_Loyalty_Program_Account|v24.0
TMFC005,ProductInventory,CoreCommerce,eTOM,1.1.19.2.7|Provide_Loyalty_Program_Operation_Report|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,180|Assigned_Products_Maintenance|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,197|Customer_Product_Storage|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,198|Customer_Loyalty_Score_Balance_Management|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,237|Customer_Loyalty_Communication|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,361|Contract_Implementation|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,362|Contract_Searching|v24.0
TMFC005,ProductInventory,CoreCommerce,functionalFrameworkFunctions,363|Contract_Storage|v24.0
TMFC005,ProductInventory,CoreCommerce,SID,Product_Domain|Product_and_Offering_Instance_ABE|Product_ABE|v25.0
TMFC005,ProductInventory,CoreCommerce,SID,Product_Domain|ProductOfferingInstance_ABE|v25.0
TMFC005,ProductInventory,CoreCommerce,SID,Product_Domain|Loyalty_ABE|Loyalty_Program_ABE|v25.0
TMFC010,ResourceCatalogManagement,Production,eTOM,1.5.15|Resource_Catalog_Lifecycle_Management|v23.0
TMFC010,ResourceCatalogManagement,Production,eTOM,1.5.16|Resource_Catalog_Operational_Readiness_Management|v23.0
TMFC010,ResourceCatalogManagement,Production,eTOM,1.5.17|Resource_Catalog_Content_Management|v23.0
TMFC010,ResourceCatalogManagement,Production,eTOM,1.5.18|Resource_Catalog_Planning_Management|v23.0
TMFC010,ResourceCatalogManagement,Production,eTOM,1.5.19|Resource_Specification_Management|v23.0
TMFC010,ResourceCatalogManagement,Production,eTOM,1.5.3|Resource_Specification_Development_&_Retirement|v23.0
TMFC010,ResourceCatalogManagement,Production,eTOM,1.5.3.4|Develop_Detailed_Resource_Specifications|v23.0
TMFC010,ResourceCatalogManagement,Production,functionalFrameworkFunctions,737|Resource_Capability_Specification_Management|v23.0
TMFC010,ResourceCatalogManagement,Production,functionalFrameworkFunctions,467|Resource_Data_Transformation/Parsing_Rules_Configuration|v23.0
TMFC010,ResourceCatalogManagement,Production,functionalFrameworkFunctions,951|Resource_Catalog_Entities_Management|v23.0
TMFC010,ResourceCatalogManagement,Production,functionalFrameworkFunctions,996|Resource_Task_Item_Policy_Control_Configuration|v23.0
TMFC010,ResourceCatalogManagement,Production,functionalFrameworkFunctions,1083|Resource_Specification_Repository_Management|v23.0
TMFC010,ResourceCatalogManagement,Production,functionalFrameworkFunctions,1088|Resource_Specification_to_Supplier_Product_Specification_Relationship_Design|v23.0
TMFC010,ResourceCatalogManagement,Production,functionalFrameworkFunctions,1089|Resource_Specification_Action_Skill_Design|v23.0
TMFC010,ResourceCatalogManagement,Production,functionalFrameworkFunctions,1082|Resource_Specification_Change_Auditing|v23.0
TMFC010,ResourceCatalogManagement,Production,functionalFrameworkFunctions,1064|Logical_and_Software_Resources_Designing|v23.0
TMFC010,ResourceCatalogManagement,Production,functionalFrameworkFunctions,1087|Resource_Specification_Design|v23.0
TMFC010,ResourceCatalogManagement,Production,SID,Resource_Domain|Resource_Specification_ABE|v25.0
TMFC010,ResourceCatalogManagement,Production,SID,Resource_Domain|Resource_Performance_ABE|ResourcePerformanceSpecification_BE|v25.0
TMFC010,ResourceCatalogManagement,Production,SID,Resource_Domain|Resource_Usage_ABE|ResourceUsageSpec_BE|v25.0
TMFC010,ResourceCatalogManagement,Production,SID,Resource_Domain|Resource_Configuration_ABE|ResourceConfigSpec_BE|v25.0
